#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_amalfinos;Amalfinos;Amalfinos;Amalfiner;;Amalfinos;;;;;;;;;x
b_manginos;Manginos;Manginos;Manginer;;Manginos;;;;;;;;;x
b_kanakares;Kanakares;Kanakares;Kanakaren;;Kanakares;;;;;;;;;x
b_sorrenti;Sorrenti;Sorrenti;Sorrentiner;;Sorrenti;;;;;;;;;x
b_ravelli;Ravelli;Ravelli;Ravelli;;Ravelli;;;;;;;;;x
CHRONICLE_OF_HOUSE;The Chronicle of House [GetOnlyDynastyName];Les Chroniques de la maison [GetOnlyDynastyName];Die Chronik des Hauses [GetOnlyDynastyName];;La Crónica de la Casa de [GetOnlyDynastyName];;;;;;;;;x
CHRONICLE_START;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Voici les chroniques de la maison [Root.GetOnlyDynastyName], qui relatent la gloire, la fortune et les mésaventures des années passées.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x
CHRONICLE_FILL0001;A dragon was seen in the province of [Root.GetName].;Un dragon a été vu dans la province de [Root.GetName].;Ein Drache wurde in der Provinz [Root.GetName] gesichtet.;;Se ha avistado un dragón en la provincia de [Root.GetName].;;;;;;;;x;
CHRONICLE_FILL0002;A giant destroyed several villages in [Root.GetName], but then disappeared without trace.;Un géant a détruit plusieurs villages de [Root.GetName], puis disparut sans laisser de traces.;Eine Riese zerstörte in [Root.GetName] mehrere Dörfer und verschwand dann spurlos.;;Un gigante destruyó varios pueblos en [Root.GetName], pero luego desapareció sin dejar rastro. ;;;;;;;;x;
CHRONICLE_FILL0003;Strange and wonderful serpents were seen in [Root.GetName].;D'étranges serpents fabuleux ont été vus en [Root.GetName].;Seltsame wunderbare Schlagen wurden in [Root.GetName] gesichtet.;;Extrañas y maravillosas serpientes se han visto en [Root.GetName].;;;;;;;;x;
CHRONICLE_FILL0004;Several people in [Root.Capital.GetName] spoke of seeing strange shapes dancing on the moon.;Plusieurs personnes de [Root.Capital.GetName] ont dit avoir vu d'étranges formes danser dans le ciel.;Mehrere Leute in [Root.Capital.GetName] berichteten von seltsamen Gestalten, die auf dem Mond tanzen.;;Algunas personas en [Root.Capital.GetName] decían haber visto extrañas formas bailando en la luna.;;;;;;;;x;
CHRONICLE_FILL0005;A ten feet tall woman was crucified in the province of [Root.GetName].;Une femme haute de trois mètres a été crucifiée dans la province de [Root.GetName].;Eine drei Meter große Frau wurde in der Provinz [Root.GetName] gekreuzigt.;;Una mujer de diez pies de alto fue crucificada en la provincia de [Root.GetName].;;;;;;;;x;
CHRONICLE_FILL0006;Villagers saw blood raining from the sky in the province of [Root.GetName].;Des villageois ont été témoins d'une pluie de sang dans la province de [Root.GetName].;Dorfbewohner berichteten, es habe in der Provinz [Root.GetName] Blut vom Himmel geregnet.;;Los aldeanos vieron llover sangre del cielo en la provincia de [Root.GetName].;;;;;;;;x;
CHRONICLE_FILL0007;A strange plague killed thousands of wild rabbits in the province of [Root.GetName].;Un mal étrange a tué des milliers de lapins dans la province de [Root.GetName].;Eine seltsame Seuche raffte in der Provinz [Root.GetName] Tausende von Wildhasen dahin.;;Una extraña plaga ha matado a miles de conejos salvajes en la provincia de [Root.GetName].;;;;;;;;x;
CHRONICLE_FILL0008;The earth shook for three days in [Root.GetName], killing two hundred peasants and a priest.;La terre a tremblé durant trois jours en [Root.GetName], tuant deux cents paysans et un prêtre.;Drei Tage lang bebte in [Root.GetName] die Erde, zweihundert Bauern und ein Priester kamen ums Leben.;;La tierra tembló durante tres días en [Root.GetName], matando doscientos campesinos y un sacerdote.;;;;;;;;x;
CHRONICLE_FILL0009;A river flooded parts of [Root.GetName] in the spring.;Un fleuve a inondé une partie de [Root.GetName] au printemps.;Ein Fluss trat im [Root.GetName] im Frühjahr über die Ufer.;;En primavera, un río inundó partes de [Root.GetName].;;;;;;;;x;
#CHRONICLE_FILL00010;People in [Root.GetName] claimed to have seen two suns at the same time.;Des gens de [Root.GetName] disent avoir vu deux soleils en même temps.;Leute in [Root.GetName] behaupteten, gleichzeitig zwei Sonnen gesehen zu haben.;;Gente de [Root.GetName] clama haber visto dos soles al mismo tiempo.;;;;;;;;x;
#CHRONICLE_FILL00011;A goat with three heads was born in [Root.GetName].;Une chèvre à trois têtes est née en [Root.GetName].;Eine dreiköpfige Ziege wurde in [Root.GetName] geboren.;;Ha nacido una cabra de tres cabezas en [Root.GetName].;;;;;;;;x;
#CHRONICLE_FILL00012;Tens of thousands of crows birds invaded [Root.GetName] just before the harvest, causing much damage to the farmers's fields.;Des dizaines de milliers de corbeaux ont envahi [Root.GetName] juste avant les récoltes, ce qui ravagea les champs.;Zehntausende von Krähen fielen unmittelbar vor der Ernte in [Root.GetName] ein und verursachten großen Schaden auf den Feldern der Bauern.;;Decenas de millares de cuervos invadieron [Root.GetName] justo antes de la cosecha, lo que causó un gran daño a los campos de los granjeros.;;;;;;;;x;
#CHRONICLE_FILL00013;An uncommonly great number of children were born this year in [Root.GetName].;Un nombre étonnamment élevé d'enfants sont nés cette année en [Root.GetName].;In [Root.GetName] wurden dieses Jahr ungewöhnlich viele Kinder geboren.;;Un gran -y poco común- número de niños, ha nacido este año en [Root.GetName].;;;;;;;;x;
#CHRONICLE_FILL00014;In [Root.GetName], the people celebrated the benevolent rule of [From.GetTitledFirstName].;En [Root.GetName], le peuple célèbre le règne du bienveillant [From.GetTitledFirstName].;In [Root.GetName] feierte das Volk die wohltätige und gütige Herrschaft von [From.GetTitledFirstName].;;En [Root.GetName], la gente celebra el benévolo gobierno de [From.GetTitledFirstName].;;;;;;;;x;
#CHRONICLE_FILL00015;A star fell from the sky in [Root.GetName], killing three cows.;Une étoile est tombée du ciel en [Root.GetName] et tua trois corbeaux.;In [Root.GetName]  fiel ein Stern vom Himmel und tötete drei Kühe.;;Una estrella cayó del cielo en [Root.GetName], y mató tres vacas.;;;;;;;;x;
CHRONICLE_DEATH_OF_LIEGE;[Root.GetTitledName], the liege [Root.GetLordLady] of [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledName], suzerain(e) de [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], Lehnsherr(in) [Root.GetLordLady] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledName], el señor feudal [Root.GetLordLady] de [Player.GetTitledFirstNameWithNick], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_SPOUSE;[Root.GetTitledFirstNameWithNick], the [Root.GetHusbandWife] of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledFirstNameWithNick], [Root.GetHusbandWife] de [Player.GetTitledName], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], [Root.GetHusbandWife] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNick], el [Root.GetHusbandWife] de [Player.GetTitledName], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_PARENT;[Root.GetTitledFirstNameWithNick], the [Root.GetFatherMother] of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledFirstNameWithNick], [Root.GetFatherMother] de [Player.GetTitledName], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], [Root.GetFatherMother] von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNick], el [Root.GetFatherMother] de [Player.GetTitledName], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_HEIR;[Root.GetTitledFirstNameWithNick], the heir of [Player.GetTitledName], [From.GetDeathReason] on [GetDateText].;[Root.GetTitledFirstNameWithNick], héritier de [Player.GetTitledName], [From.GetDeathReason] le [GetDateText].;[Root.GetTitledName], der Erbe von [Player.GetTitledFirstNameWithNick], ist am [GetDateText] an [From.GetDeathReason] gestorben. ;;[Root.GetTitledFirstNameWithNick], el heredero de [Player.GetTitledName], [From.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_DEATH_OF_RELIGION_HEAD;[Root.GetBestName], leader of all [Root.Religion.GetName] faithful, [Root.GetDeathReason] on [GetDateText].;[Root.GetBestName], chef de tous les croyants de la religion [Root.Religion.GetName], [Root.GetDeathReason] le [GetDateText].;[Root.GetBestName], geistlicher Führer aller [Root.Religion.GetName] Gläubigen, ist am [GetDateText] an [Root.GetDeathReason] gestorben.;;[Root.GetBestName], líder de todos los fieles del [Root.Religion.GetName], [Root.GetDeathReason] el [GetDateText].;;;;;;;;;x
CHRONICLE_BIRTH_FATHER;[Root.GetFirstName], the firstborn [Root.GetSonDaughter], was born to [Root.Father.GetTitledName].;[Root.GetFirstName], [Root.GetSonDaughter] aîné de [Root.Father.GetTitledName].;Das erste Kind, [Root.GetFirstName], wurde [Root.Father.GetTitledName] geboren.;;[Root.GetFirstName], el primogénito [Root.GetSonDaughter], ha nacido para [Root.Father.GetTitledName].;;;;;;;;;x
CHRONICLE_BIRTH_MOTHER;[Root.GetFirstName], the firstborn [Root.GetSonDaughter], was born to [Root.Mother.GetTitledName].;[Root.GetFirstName], [Root.GetSonDaughter] aîné de [Root.Mother.GetTitledName].;Das erste Kind, [Root.GetFirstName], wurde [Root.Mother.GetTitledName] geboren.;;[Root.GetFirstName], el primogénito [Root.GetSonDaughter], ha nacido para [Root.Father.GetTitledName].;;;;;;;;;x
CHRONICLE_WAR_DECLARED_ATTACKER;[From.GetTitledName] went to war against [Prev.GetTitledName].;[From.GetTitledName] a fait la guerre à [Prev.GetTitledName].;[From.GetTitledName] zog gegen [Prev.GetTitledName] in den Krieg.;;[From.GetTitledName] ha ido a la guerra contra [Prev.GetTitledName].;;;;;;;;;x
CHRONICLE_WAR_DECLARED_DEFENDER;[Prev.PrimaryTitle.GetName] was attacked by the [From.Culture.GetName] realm of [From.PrimaryTitle.GetName], ruled by [From.GetTitledFirstNameWithNick].;Le [Prev.PrimaryTitle.GetName] a été attaqué par les armées [From.Culture.GetName] de [From.PrimaryTitle.GetName], dirigées par [From.GetTitledFirstNameWithNick].;Der [Prev.PrimaryTitle.GetName] wurde vom von [From.GetTitledFirstNameWithNick] regierten Reich des [From.Culture.GetName] angegriffen.;;El [Prev.PrimaryTitle.GetName] fue atacado por el reino [From.Culture.GetName] de [From.PrimaryTitle.GetName], gobernado por [From.GetTitledFirstNameWithNick].;;;;;;;;;x
#CHRONICLE_JOINED_ALLY_IN_WAR;[Root.GetTitledName] supported [From.GetTitledName] in war against [From.GetHerHis] enemies.;[Root.GetTitledName] a soutenu [From.GetTitledName] dans la guerre contre ses ennemis.;[Root.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Root.GetTitledName] apoyó a [From.GetTitledName] en la guerra contra [From.GetHerHis] enemigos.;;;;;;;;;x
#CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledName] supported [Root.GetTitledName] in war against [Root.GetHerHis] enemies.;[From.GetTitledName] a soutenu [Root.GetTitledName] dans la guerre contre ses ennemis.;[Root.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Root.GetTitledName] apoyó a [From.GetTitledName] en la guerra contra [Root.GetHerHis] enemigos.;;;;;;;;;x
CHRONICLE_FRIENDLY_CRUSADE_STARTED;[Root.GetTitledName] declared a [Root.Religion.GetCrusadeName], wherein all faithful [Root.Religion.GetName]s were called to help conquer [From.GetName] from the [New.Religion.GetName]s.;[Root.GetTitledName] a déclaré une [Root.Religion.GetCrusadeName], dans laquelle tous les croyants de la religion [Root.Religion.GetName] sont appelés à libérer [From.GetName] du joug de la religion [New.Religion.GetName].;[Root.GetTitledName] erklärte einen [Root.Religion.GetCrusadeName], in dem alle [Root.Religion.GetName]-Gläubigen zur Hilfe bei der Befreiung von [From.GetName] von den [New.Religion.GetName]-Gläubigen aufgerufen wurden.;;[Root.GetTitledName] declaró una [Root.Religion.GetCrusadeName], en la que todos los fieles [Root.Religion.GetName] fueron llamados para ayudar a conquistar [From.GetName] de los [New.Religion.GetName].;;;;;;;;;x
CHRONICLE_UNFRIENDLY_CRUSADE_STARTED;[Root.GetTitledName] declared a [Root.Religion.GetCrusadeName], wherein all unfaithful [Root.Religion.GetName]s were called to conquer [From.GetName] from the [New.Religion.GetName]s.;[Root.GetTitledName] a déclaré une [Root.Religion.GetCrusadeName], dans laquelle les impies professant la fourbe foi [Root.Religion.GetName] sont appelés à libérer [From.GetName] du joug de la religion [New.Religion.GetName].;[Root.GetTitledName] erklärte einen [Root.Religion.GetCrusadeName], in dem alle ungläubigen [Root.Religion.GetName] zur Hilfe bei der Befreiung von [From.GetName] von den [New.Religion.GetName]-Gläubigen aufgerufen wurden.;;[Root.GetTitledName] declaró una [Root.Religion.GetCrusadeName], en la que todos los infieles [Root.Religion.GetName] fueron llamados a conquistar [From.GetName] de los [New.Religion.GetName].;;;;;;;;;x
CHRONICLE_CRUSADE_WON;The [From.Religion.GetCrusadeName] declared by [From.RelHead.GetDynName] ended with the successful conquest of [Root.GetName] from the [New.Religion.GetName]s.;La [From.Religion.GetCrusadeName] déclarée par [From.RelHead.GetDynName] s'est terminée par la conquête de [Root.GetName] des mains des adeptes de la religion [New.Religion.GetName].;Der von [From.RelHead.GetDynName] erklärte [From.Religion.GetCrusadeName] endete mit der Befreiung von [Root.GetName] von den [New.Religion.GetName]-Gläubigen.;;La [From.Religion.GetCrusadeName] declarada por [From.RelHead.GetDynName] finalizó con la exitosa conquista de [Root.GetName] sobre los [New.Religion.GetName].;;;;;;;;;x
CHRONICLE_CRUSADE_WON_AND_I_GOT_THE_TITLE;The [From.Religion.GetCrusadeName] declared by [From.RelHead.GetDynName] ended with the successful conquest of [Root.GetName] from the [New.Religion.GetName]s. [From.GetDynName] became the new [From.GetLordLady] of the conquered lands.;La [From.Religion.GetCrusadeName] déclarée par [From.RelHead.GetDynName] s'est terminée par la conquête de [Root.GetName] des mains des adeptes de la religion [New.Religion.GetName]. [From.GetDynName] est devenu le nouveau [From.GetLordLady] des terres conquises.;Der von [From.RelHead.GetDynName] erklärte [From.Religion.GetCrusadeName] endete mit der Befreiung von [Root.GetName] von den [New.Religion.GetName]-Gläubigen. [From.GetDynName] wurde neuer Herrscher der eroberten Länder.;;La [From.Religion.GetCrusadeName] declarada por [From.RelHead.GetDynName] finalizó con la exitosa conquista de [Root.GetName] de los [New.Religion.GetName]. [From.GetDynName] se ha convertido en el nuevo [From.GetLordLady] de las tierras conquistadas.;;;;;;;;;x
CHRONICLE_CRUSADE_LOST;The [From.Religion.GetCrusadeName] declared by [From.GetDynName] ended in defeat as the armies failed to conquer [Root.GetName].;La [From.Religion.GetCrusadeName] declarée par [From.GetDynName] s'est terminée par la défaite. Les armées n'ont pas conquis [Root.GetName].;Der von [From.GetDynName] erklärte [From.Religion.GetCrusadeName] endete mit einer Niederlage, da die Heere [Root.GetName] nicht zu erobern vermochten.;;La [From.Religion.GetCrusadeName] declarada por [From.GetDynName] finalizó con derrota puesto que los ejércitos no consiguieron conquistar [Root.GetName].;;;;;;;;;x
CHRONICLE_MONGOL_RUMORS;Strange rumors reached the [Player.Culture.GetName] lands, speaking of strong armies gathering in the Eastern steppes under the Great Khan, with men too numerous to count.;D'étranges rumeurs courent sur les terres de culture [Player.Culture.GetName], on parle du Grand Khan qui rassemble de puissantes armées dans les steppes orientales, avec un nombre incalculable d'hommes.;Seltsame Gerüchte erreichten die Länder von [Player.Culture.GetName]. Es ist die Rede von großen Heeren, die sich unter dem Großen Khan in den Steppen des Ostens versammeln, mit so vielen Leuten, dass man sie gar nicht zählen kann.;;Extraños rumores han llegado a tierras [Player.Culture.GetName], hablan de fuertes ejércitos concentrándose en las estepas orientales bajo el Gran Kan, con una cantidad tan grande de hombres que resulta imposible contar.;;;;;;;;;x
CHRONICLE_AZTECS_FIRST_CONTACT;Strangers in strange ships landed in the [FromFromFrom.Holder.PrimaryTitle.GetAdjective] province of [FromFromFrom.GetName], bringing rise to much worry and rumours across the lands.;Des étrangers à bord d'étranges navires ont accosté sur les terres de [FromFromFrom.GetName], en la province de [FromFromFrom.Holder.PrimaryTitle.GetName], créant un vent d'inquiétude et de rumeurs qui souffle dans les terres.;Fremdlinge in fremdartigen Schiffen landeten in [FromFromFrom.Holder.PrimaryTitle.GetAdjective] in der Provinz [FromFromFrom.GetName], was im ganzen Land Anlass zu schlimmen Gerüchten und großer Sorge gibt.;;Unos desconocidos a bordo de extraños barcos han desembarcado en la [FromFromFrom.Holder.PrimaryTitle.GetAdjective] provincia de [FromFromFrom.GetName], lo que ha hecho aumentar las preocupaciones y rumores por todo el territorio.;;;;;;;;;x
CHRONICLE_AZTEC_INVASION;A terrible scourge was unleashed upon [FromFromFrom.Holder.PrimaryTitle.GetName] as the hordes of the Aztec Emperor arrived from beyond the sea to wreak havoc and destruction.;Un vent de terreur souffle sur [FromFromFrom.Holder.PrimaryTitle.GetName], alors que les hordes de l'Empereur aztèque arrivent de par les mers, apportant avec eux dévastation et destruction.;Eine schreckliche Plage brach über [FromFromFrom.Holder.PrimaryTitle.GetName] herein, als die Horden des Aztekenkaisers von jenseits des Meeres einfielen und Schrecken und Verwüstung verbreiteten. ;;Un terrible azote se ha desatado sobre [FromFromFrom.Holder.PrimaryTitle.GetName] cuando las hordas del Emperador Azteca llegaron de mar adentro para provocar caos y destrucción.;;;;;;;;;x
CHRONICLE_CREATED_TITLE;[Root.GetDynName] created the title of [From.GetFullName], confirming [Root.GetHerHis] growing power with much ceremony and celebration.;[Root.GetDynName] a créé le titre de [From.GetFullName], affirmant son pouvoir grandissant de façon éclatante.;[Root.GetDynName] schaffte den Titel [From.GetFullName] und bestätigte damit in einer großen festlichen Feier [Root.GetHerHis] gewachsene Macht.;;[Root.GetDynName] ha creado el título de [From.GetFullName], confirmando [Root.GetHerHis] un creciente poder con una gran ceremonia y celebración.;;;;;;;;;x
CHRONICLE_USURPED_TITLE;[Root.GetDynName] usurped the [From.GetFullName] from [FromFrom.GetDynName].;[Root.GetDynName] a usurpé le [From.GetFullName] de [FromFrom.GetDynName].;[Root.GetDynName] entriss [From.GetFullName] von [FromFrom.GetDynName].;;[Root.GetDynName] ha usurpado el [From.GetFullName] de [FromFrom.GetDynName].;;;;;;;;;x
CHRONICLE_RUNESTONE_FATHER;[Root.GetTitledName] raised a runestone in honor of [Root.GetHerHis] father, [Root.Father.GetTitledFirstNameWithNick].;[Root.GetTitledName] a érigé une pierre runique en l'honneur de son père, [Root.Father.GetTitledFirstNameWithNick].;[Root.GetTitledName] errichtete einen Runenstein zu Ehren [Root.GetHerHis] Vaters [Root.Father.GetTitledFirstNameWithNick].;;[Root.GetTitledName] ha erigido una piedra rúnica en honor a [Root.GetHerHis] padre, [Root.Father.GetTitledFirstNameWithNick].;;;;;;;;;x
CHRONICLE_RUNESTONE_MOTHER;[Root.GetTitledName] raised a runestone in honor of [Root.GetHerHis] mother, [Root.Mother.GetTitledFirstNameWithNick].;[Root.GetTitledName] a érigé une pierre runique en l'honneur de sa mère, [Root.Mother.GetTitledFirstNameWithNick].;[Root.GetTitledName] errichtete einen Runenstein zu Ehren [Root.GetHerHis] Mutter[Root.Mother.GetTitledFirstNameWithNick].;;[Root.GetTitledName] ha erigido una piedra rúnica en honor a [Root.GetHerHis] madre, [Root.Mother.GetTitledFirstNameWithNick].;;;;;;;;;x
CHRONICLE_RUNESTONE_GENERIC;[Root.GetTitledName] raised a runestone in memory of [Root.GetHerselfHimself].;[Root.GetTitledName] a érigé une pierre runique en sa mémoire.;[Root.GetTitledName] errichtete einen Runenstein zum Gedenken an [Root.GetHerselfHimself].;;[Root.GetTitledName] ha erigido una piedra rúnica en memoria de [Root.GetHerselfHimself].;;;;;;;;;x
CHRONICLE_RUNESTONE_LUNATIC;[Root.GetTitledNameWithNick] raised a runestone in memory of [Root.GetHerHis] extraordinary exploits in a flying longship.;[Root.GetTitledNameWithNick] a érigé une pierre runique à la mémoire de ses exploits extraordinaires à bord d'un drakkar volant.;[Root.GetTitledNameWithNick] errichtete einen Runenstein zum Gedenken an [Root.GetHerHis] außergewöhnlichen Heldentaten in einem schnellen Langschiff.;;[Root.GetTitledNameWithNick] ha erigido una piedra rúnica en memoria de [Root.GetHerHis] extraordinarias hazañas a bordo de un drakkar volador.;;;;;;;;;x
CHRONICLE_RUNESTONE_DRUNKARD;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] love for mead.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer son amour de l'hydromel.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] Liebe zum Met zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] amor por el hidromiel.;;;;;;;;;x
CHRONICLE_RUNESTONE_FAIR;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great beauty.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa grande beauté.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] große Schönheit zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] gran belleza.;;;;;;;;;x
CHRONICLE_RUNESTONE_DWARF;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great willpower, which was said to be that of a giant.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa grande volonté, qu'on disait celle d'un géant.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] große Tatkraft zu feiern, die der eines Riesen gleichkommen soll.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] gran fuerza de voluntad que, como se dice, es más propia de un gigante.;;;;;;;;;x
CHRONICLE_RUNESTONE_GENIUS;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great wisdom.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa grande beauté.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] große Weisheit zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] gran sabiduría.;;;;;;;;;x
CHRONICLE_RUNESTONE_IMBECILE;[Root.GetTitledName] managed to raise a runestone in spite of the things men said about [Root.GetHerHis] intellect.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa grande sagesse.;[Root.GetTitledName] schaffte es, trotz der üblen Nachrede über [Root.GetHerHis] geistige Fähigkeiten, einen Runenstein zu errichten.;;[Root.GetTitledName] se las ha arreglado para erigir una piedra rúnica a pesar de las cosas que los hombres dicen acerca de [Root.GetHerHis] intelecto.;;;;;;;;;x
CHRONICLE_RUNESTONE_STRONG;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great strength.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa grande force.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] große Körperkraft zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] gran fuerza.;;;;;;;;;x
CHRONICLE_RUNESTONE_SCHOLAR;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great knowledge of the world and everything in it.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa grande connaissance du monde et de ce qu'il contient.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] große Kenntnis der ganzen Welt und aller Dinge darin zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] gran conocimiento del mundo y todo lo que contiene.;;;;;;;;;x
CHRONICLE_RUNESTONE_IMPALER;[Root.GetTitledName] raised a runestone warning the world of the horrors awaiting any who would defy [Root.GetHerHis].;[Root.GetTitledName] a fait ériger une pierre runique afin d'aviser le monde entier des horreurs qui attendent quiconque le défie.;[Root.GetTitledName] errichtete einen Runenstein, um die Welt vor den Schrecken zu warnen, die allen drohen, die es wagen, sich [Root.GetHerHim] zu widersetzen.;;[Root.GetTitledName] ha erigido una piedra rúnica advirtiendo al mundo de los horrores que aguardan a cualquier que [Root.GetHerHis] desafíe.;;;;;;;;;x
CHRONICLE_RUNESTONE_POET;[Root.GetTitledName] raised a runestone with poetic words carved into it.;[Root.GetTitledName] a fait ériger une pierre runique gravées de poèmes.;[Root.GetTitledName] errichtete einen Runenstein mit poetischen Worten als Inschrift.;;[Root.GetTitledName] ha erigido una piedra rúnica con poéticas palabras grabadas en ella.;;;;;;;;;x
CHRONICLE_RUNESTONE_LUSTFUL;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] love for others.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa philanthropie.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] Nächstenliebe zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] amor por el prójimo.;;;;;;;;;x
CHRONICLE_RUNESTONE_GLUTTONOUS;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] love for food.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer son amour pour la bonne chère.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] Liebe zu gutem Essen zu feieren.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] amor a la comida.;;;;;;;;;x
CHRONICLE_RUNESTONE_CHARITABLE;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] charity.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa charité.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] Barmherzigkeit zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] caridad.;;;;;;;;;x
CHRONICLE_RUNESTONE_KIND;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] kindness.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa gentillesse.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] Güte zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] bondad.;;;;;;;;;x
CHRONICLE_RUNESTONE_PROUD;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] own greatness.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer sa toute puissance.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] eigene Größe zu Feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] propia grandeza.;;;;;;;;;x
CHRONICLE_RUNESTONE_HUMBLE;[Root.GetTitledName] raised a runestone celebrating the joys of a simple life.;[Root.GetTitledName] a fait ériger une pierre runique pour célébrer les petits plaisirs de la vie.;[Root.GetTitledName] errichtete einen Runenstein, um die Freuden des einfachen Lebens zu preisen.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando el júbilo de una vida simple.;;;;;;;;;x
CHRONICLE_RUNESTONE_BRAVE;[Root.GetTitledName] raised a runestone celebrating [Root.GetHerHis] great valor.;[Root.GetTitledName] a fait ériger une pierre runique en l'honneur de sa grande valeur.;[Root.GetTitledName] errichtete einen Runenstein, um [Root.GetHerHis] große Tapferkeit zu feiern.;;[Root.GetTitledName] ha erigido una piedra rúnica celebrando [Root.GetHerHis] gran valor.;;;;;;;;;x
