#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
crown_authority_desc;Medieval kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The nobility, naturally, tended to favor a weak state...;Les rois et empereurs médiévaux se battaient constamment contre leurs vassaux sur des questions de privilèges, de droits et d’obligations. La noblesse, naturellement, tendait à favoriser un État faible...;Mittelalterliche Könige und Kaiser kämpften stets gegen ihre Vasallen um Privilegien, Rechte und Pflichten. Dem Adel war natürlich ein  schwacher Staat lieber...;;Los reyes y los emperadores medievales lucharon sin cesar con sus vasallos por sus privilegios, derechos y obligaciones. La nobleza, lógicamente, suele preferir un estado débil...;;;;;;;;;x
crown_authority_0;Autonomous Vassals;Vassaux autonomes;Autonome Vasallen;;Vasallos independientes;;;;;;;;;x
crown_authority_0_option;Min;Minime;Min;;Mín.;;;;;;;;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;Les vassaux imposent leurs lois et dirigent leurs fiefs comme s’il s’agissait de petits royaumes. Leurs obligations envers leur suzerain sont minimales.;Vasallen sind sich selbst das Gesetz und herrschen in ihren Lehen wie kleine Könige. Ihre Verpflichtungen gegenüber dem Lehnsherrn sind minmal.;;Los vasallos tienen sus propias leyes y gobiernan sus feudos como si fueran pequeños reinos. Sus obligaciones hacia su señor son mínimas.;;;;;;;;;x
crown_authority_1;Limited Crown Authority;Faible autorité de la Couronne;Begrenzte Macht der Krone;;Autoridad de la Corona limitada;;;;;;;;;x
crown_authority_1_option;Low;Faible;Niedrig;;Baja;;;;;;;;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;Les vassaux jouissent toujours d'une autonomie plutôt large, mais le souverain a la main haute sur les commandants militaires et peut remettre en question les titres.;Vasallen genießen weitgehende Autonomie, müssen aber einen nicht unwesentlichen Anteil der von ihnen eingenommenen Abgaben an den Lehnsherrn abgeben.;;Los vasallos gozan de bastante autonomía, pero tienen que proporcionar levas suficientes a su señor.;;;;;;;;;x
crown_authority_2;Medium Crown Authority;Moyenne autorité de la Couronne;Mittlere Macht der Krone;;Autoridad de la Corona media;;;;;;;;;x
crown_authority_2_option;Medium;Modérée;Mittel;;Media;;;;;;;;;x
crown_authority_2_desc;The powers of the nobility and the monarch are in precarious balance.;Le souverain parvient à équilibrer le pouvoir de la noblesse. La Couronne peut confisquer les fiefs détenus par des hérétiques ou des infidèles. Les guerres privées sont proscrites.;Die Macht des Adels und des Monarchen stehen in einem stets gefährdeten Gleichgewicht;;El poder de la nobleza y el del monarca están en un equilibrio precario.;;;;;;;;;x
crown_authority_3;High Crown Authority;Haute autorité de la Couronne;Starke Macht der Krone;;Autoridad de la Corona alta;;;;;;;;;x
crown_authority_3_option;High;Haute;Stark;;Alta;;;;;;;;;x
crown_authority_3_desc;The monarch has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;Le monarque a limité les droits de la haute noblesse, préférant s’appuyer sur une bureaucratie aux mains d’une moindre noblesse. Les titres reviennent à la Couronne plutôt que d'être transmis à l'étranger.;Der Monarch hat die Rechte des Hochadels beschnitten und stützt sich stattdessen auf eine neu entstehende, vom niederen Adel geführte Verwaltung.;;El monarca ha reprimido los derechos de la alta nobleza y, en su lugar, confía en una burocracia incipiente dirigida por la baja nobleza.;;;;;;;;;x
crown_authority_4;Absolute Crown Authority;Autorité absolue;Absolute Macht der Krone;;Autoridad de la Corona absoluta;;;;;;;;;x
crown_authority_4_option;Max;Max;Max;;Máx.;;;;;;;;;x
crown_authority_4_desc;The Lords of the Realm are chafing under the unrestricted powers of the absolute monarch.;Tout les seigneurs doivent se plier aux pouvoirs illimités du monarque absolu. Ils ne peuvent plus déclarer la guerre sans son concours.;Die Adligen im Reich ächzen unter der uneingeschränkten Macht des Monarchen.;;Los señores del reino están molestos con los poderes ilimitados del monarca absolutista.;;;;;;;;;x
centralization;Centralization;Centralisation;Zentralisierung;;Centralización;;;;;;;;;x
centralization_desc;A centralized state is important for the liege to grow powerful, but a decentralized state might be easier to maintain.;Une administration centralisée est cruciale pour permettre à un seigneur d'affirmer sa puissance, mais inversement, un gouvernement rudimentaire est plus aisé à entretenir.;Ein zentralisierter Staat begünstigt den Machtzuwachs des Lehnsherrn, doch ein dezentalisierter Staat könnte leichter zu handhaben sein.;;Para el señor feudal es importante un estado centralizado para incrementar su poder, pero un estado descentralizado puede ser más fácil de mantener.;;;;;;;;;x
centralization_0;Decentralized;Décentralisé;Dezentralisiert;;Descentralizado;;;;;;;;;x
centralization_0_option;Min;Minime;Min;;Mín.;;;;;;;;;x
centralization_0_desc;The realm is entirely decentralized, and can effectively handle many vassals.;Le pouvoir central est embryonnaire, mais permet l'allégeance de nombreux vassaux.;Das Reich ist ganz und gar dezentralisiert und kann zahlreiche Vasallen erfolgreich beherrschen.;;El reino está completamente descentralizado y puede gestionar de manera efectiva muchos vasallos.;;;;;;;;;x
centralization_1;Low Centralization;Faible centralisation;Geringe Zentalisierung;;Baja centralización;;;;;;;;;x
centralization_1_option;Low;Faible;Gering;;Baja;;;;;;;;;x
centralization_1_desc;The realm is somewhat decentralized, and can effectively handle several vassals.;On peut parler d'une certaine décentralisation, ce qui favorise l'épanouissement des vassaux.;Das Reich ist etwas dezentralisiert und kann erfolgreich mehrere Vasallen beherrschen.;;En cierto modo, el reino está descentralizado y puede gestionar de manera efectiva varios vasallos;;;;;;;;;x
centralization_2;Medium Centralization;Centralisation moyenne;Mittelstarke Zentralisierung;;Centralización Media;;;;;;;;;x
centralization_2_option;Medium;Moyenne;Mittel;;Media;;;;;;;;;x
centralization_2_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;L'État n'incline ni d'un côté, ni de l'autre, reposant dans un équilibre qui permet une poignée de vassaux tout en laissant au suzerain un puissant domaine personnel.;Das Reich ist weder zentralisiert noch dezentralisiert, es herrscht ein Gleichgewicht zwischen wirksamer Herrschaft über Vasallen und einer starken Domäne für den obersten Lehnsherrn.;;El reino no está ni centralizado ni descentralizado, existe un equilibrio entre una gestión efectiva de los vasallos y una terratenencia poderosa para el señor feudal supremo.;;;;;;;;;x
centralization_3;High Centralization;Forte centralisation;Starke Zentralisierung;;Centralización Alta;;;;;;;;;x
centralization_3_option;High;Forte;Stark;;Alta;;;;;;;;;x
centralization_3_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.;L'administration de l'État est suffisamment centralisée pour permettre un vaste domaine pour le suzerain.;Das Reich ist etwas zentralisiert und erlaubt eine große Domäne für den obersten Lehnsherrn.;;En cierto modo, el reino está centralizado y permite una gran terratenencia para el señor feudal supremo.;;;;;;;;;x
centralization_4;Centralized;Centralisé;Zentralisiert;;Centralizado;;;;;;;;;x
centralization_4_option;Max;Max.;Max;;Máx.;;;;;;;;;x
centralization_4_desc;The realm is entirely centralized, and allows a much bigger demesne for the top liege.;L'État central est en pleine forme, ce qui lui permet d'administrer un imposant domaine personnel pour le suzerain.;Das Reich ist ganz und gar zentralisiert und erlaubt eine viel größere Domäne für den obersten Lehnsherrn.;;El reino está completamente centralizado y permite una terratenencia mucho mayor para el señor feudal supremo.;;;;;;;;;x
castle_desc;Castles are feudal holdings that come with an associated Barony. They are highly defensible and provide the highest quality levies. However, tax income is lower than from Cities or Temples.;Les châteaux sont des fiefs féodaux associées à une baronnie. Ils sont hautement défendus et fournissent les meilleures troupes. Cela étant, leurs revenus fiscaux sont moindres que ceux des cités ou des temples.;Burgen sind feudale Besitztümer mit angegliederten Baronien. Sie können gut verteidigt werden und ihre Wehrpflichtigen sind von höchster Qualität. Die von Burgen erzielten Steuereinnahmen sind aber niedriger als die von Städten oder Tempeln.;;Los castillos son propiedades feudales asociadas a una baronía. Son fácilmente defendibles y proporcionan levas de la mejor calidad. No obstante, los ingresos por impuestos son menores que en villas o templos.;;;;;;;;;x
city_desc;Cities are commercial hubs dominated by the burgher class. Cities are rich and provide a lot of tax, especially if administrated by a burgher character - a Mayor. However, city levies are of relatively low quality.;Les cités sont des centres commerciaux dominés par la classe bourgeoise. Elles sont riches et fournissent d’importants revenus fiscaux, notamment si elles sont administrées par un maire. Cela étant, les troupes des cités sont relativement médiocres.;Städte sind von Bürgern dominierte Handelszentren. Die reichen Städte zahlen viel Steuern, besonders wenn sie von einem Bürgermeister verwaltet werden, einem Bürgercharakter. Die von Städten gestellten Wehrpflichtigen sind aber von relativ geringer Qualität.;;Las villas son centros comerciales dominados por la burguesía. Las villas son ricas y proporcionan muchos impuestos, en especial si las administra un personaje burgués: un alcalde. No obstante, las levas de la villa son de calidad relativamente baja.;;;;;;;;;x
temple_desc;Temples are both rich and provide excellent levies. However, the priest in charge will neither pay taxes nor provide the levies to their secular liege unless they like him better than the head of their religion (or the controller of an Antipope.);Les temples sont riches et fournissent d’excellentes troupes. Toutefois, les prêtres qui s’en occupent ne paient pas d’impôts et ne fournissent pas de troupes à leurs suzerains séculaires, sauf s’ils les préfèrent à leur chef religieux (ou le contrôleur d’un antipape).;Tempel sind reich und stellen hervorragende Wehrpflichtige. Der federführende Geistliche aber wird einem säkularen Lehnsherrn weder Steuern zahlen noch ihm Wehrpflichtige stellen, wenn er ihn weniger gut leiden kann als das Oberhaupt seiner Religion (oder den Kontrolleur eines Gegenpapstes).;;Los templos son ricos y proporcionan excelentes levas. No obstante, el sacerdote al cargo no pagará impuestos ni proporcionará las levas a su señor seglar salvo que lo tengan en mayor consideración que a la cabeza de su religión (o al controlador de un antipapa).;;;;;;;;;x
CITY_TAX_MODIFIER;City Tax;Impôts des cités;Stadtsteuer;;Impuesto villa;;;;;;;;;x
CASTLE_TAX_MODIFIER;Castle Tax;Impôts des châteaux;Burgsteuer;;Impuesto castillo;;;;;;;;;x
TEMPLE_TAX_MODIFIER;Temple Tax;Impôts des temples;Tempelsteuer;;Impuesto templo;;;;;;;;;x
TRADE_POST_TAX_MODIFIER;Trade Post Tax;Impôts des comptoirs;Handelspostensteuer;;Impuesto comercio;;;;;;;;;x
MONTHLY_CHARACTER_PRESTIGE;Monthly Prestige;Prestige mensuel;Monatliches Prestige;;Prestigio mensual;;;;;;;;;x
#MONTHLY_CHARACTER_PIETY;Monthly Piety;Piété mensuelle;Monatliche Pietät;;Piedad mensual;;;;;;;;;x
de_jure_liege;Holding De Jure Vassal Titles;Détention de titres de vassal de Jure;Bekleidet de jure-Vasallentitel;;Posesión de títulos de vasallo de iure;;;;;;;;;x
de_jure_liege_hog;Holding De Jure Liege Title;Détention d’un titre de suzerain de Jure;Bekleidet de jure-Lehnsherrntitel;;Posesión de título de señor de iure;;;;;;;;;x
CITY_VASSAL_TAX_MODIFIER;Burgher Vassal Tax;Impôts vassal – Bourgeois;Bürgervasall-Steuer;;Impuesto burgués;;;;;;;;;x
CASTLE_VASSAL_TAX_MODIFIER;Noble Vassal Tax;Impôts vassal – Noble;Adelsvasall-Steuer;;Impuesto noble;;;;;;;;;x
TEMPLE_VASSAL_TAX_MODIFIER;Clergy Vassal Tax;Impôts vassal – Clergé;Klerusvasall-Steuer;;Impuesto clero;;;;;;;;;x
CITY_VASSAL_MIN_LEVY;Burgher Vassal Min Levy;Troupes min – Vassal bourgeois;Bürgervasall Min. Wehrpfl.;;Leva mín burgués;;;;;;;;;x
CASTLE_VASSAL_MIN_LEVY;Noble Vassal Min Levy;Troupes min – Vassal noble;Adelsvasall Min. Wehrpfl.;;Leva mín noble;;;;;;;;;x
TEMPLE_VASSAL_MIN_LEVY;Clergy Vassal Min Levy;Troupes min – Vassal ecclésiastique;Klerusvasall Min. Wehrpfl.;;Leva mín clero;;;;;;;;;x
CITY_VASSAL_MAX_LEVY;Burgher Vassal Max Levy;Troupes max – Vassal bourgeois;Bürgervasall Max. Wehrpfl.;;Leva máx burgués;;;;;;;;;x
CASTLE_VASSAL_MAX_LEVY;Noble Vassal Max Levy;Troupes max – Vassal noble;Adelsvasall Max. Wehrpfl.;;Leva máx noble;;;;;;;;;x
TEMPLE_VASSAL_MAX_LEVY;Clergy Vassal Max Levy;Troupes max – Vassal ecclésiastique;Klerusvasall Max. Wehrpfl.;;Leva máx clero;;;;;;;;;x
CROWN_CITY_VASSAL_MIN_LEVY;Crown Cities Min Levy;Troupes min – Cités de la Couronne;Kronstädte Min. Wehrpfl.;;Leva mín. en las villas de la corona;;;;;;;;;x
CROWN_CASTLE_VASSAL_MIN_LEVY;Crown Castles Min Levy;Troupes min – Châteaux de la Couronne;Kronburgen Min. Wehrpfl.;;Leva mín castillos Corona;;;;;;;;;x
CROWN_TEMPLE_VASSAL_MIN_LEVY;Crown Churches Min Levy;Troupes min – Églises de la Couronne;Kronkirchen Min. Wehrpfl.;;Leva mín iglesias Corona;;;;;;;;;x
DE_JURE;De Jure;de Jure;De Jure;;De iure;;;;;;;;;x
SUCCESSION;Succession;Succession;Nachfolge;;Sucesión;;;;;;;;;x
NOMINATE_SUCCESSOR;Nominate;Nominer;Nominieren;;Designado;;;;;;;;;x
COUNTY;County;Comtales;Grafschaft;;Condado;;;;;;;;;x
DUCAL;Ducal;Ducales;Herzöglich;;Ducal;;;;;;;;;x
ROYAL;Royal;Royales;Königlich;;Real;;;;;;;;;x
IMPERIAL;Imperial;Impériales;Kaiserlich;;Imperial;;;;;;;;;x
CURRENT_LAWS;Laws;Lois;Gesetze;;Leyes;;;;;;;;;x
NOMINATED_BY;Nominated by;Nommé(e) par;Nominiert von;;Designado por;;;;;;;;;x
feudal_elective;Elective;Monarchie élective;Feudalwahl;;Elección;;;;;;;;;x
gavelkind;Gavelkind;Partage Salique;Gavelkind;;Partes iguales;;;;;;;;;x
seniority;Seniority;Ancienneté;Alter;;Veteranía;;;;;;;;;x
primogeniture;Primogeniture;Primogéniture;Ältestenrecht;;Primogenitura;;;;;;;;;x
turkish_succession;Open;Islamique;Offen;;Sucesión abierta;;;;;;;;;x
open_elective;Open Elective;Élection ouverte;Freie Wahl;;Elección abierta;;;;;;;;;x
catholic_bishopric;Investiture;Investiture;Investitur;;Investidura;;;;;;;;;x
AGNATIC;Agnatic;Agnatique;Agnatisch;;Agnación;;;;;;;;;x
COGNATIC;Cognatic;Cognatique;Kognatisch;;Cognación;;;;;;;;;x
UNREST;Unrest;Troubles;Unruhen;;Agitación;;;;;;;;;x
SUPPLY;Supply;Ravitaillement;Nachschub;;Pertrechos;;;;;;;;;x
AGNATIC_SUCCESSION;Agnatic Succession;Succession Agnatique;Agnatische Nachfolge;;Sucesión agnática;;;;;;;;;x
COGNATIC_SUCCESSION;Cognatic Succession;Succession Cognatique;Kognatische Nachfolge;;Sucesión cognática;;;;;;;;;x
high_taxes;High Taxes;Taxes élevées;Hohe Steuern;;Impuestos elevados;;;;;;;;;x
temple_tax_0_option;None;Aucun;Keine;;Nada;;;;;;;;;x
feudal_tax_1;Small Feudal Tax;Petite taxe féodale;Geringe feudale Abgaben;;Impuesto feudal reducido;;;;;;;;;x
feudal_tax_2;Large Feudal Tax;Taxe féodale moyenne;Hohe feudale Abgaben;;Impuesto feudal grande;;;;;;;;;x
feudal_tax_3;Harsh Feudal Tax;Lourde Taxe féodale;Harte feudale Abgaben;;Impuesto feudal abusivo;;;;;;;;;x
city_contract_0_desc;The Burghers are expected to provide half their troops for the defense of the realm.;Les bourgeois sont tenus d’affecter une petite partie de leurs troupes à la défense du Royaume.;Die Bürger müssen die Hälfte ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan la mitad de sus tropas para defender el reino.;;;;;;;;;x
city_contract_1_desc;The Burghers are expected to provide the majority of their troops for the defense of the realm.;Les bourgeois sont tenus d’affecter la moitié de leurs troupes à la défense du Royaume.;Die Bürger müssen einen Großteil ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan la mayoría de sus tropas para defender el reino.;;;;;;;;;x
city_contract_2_desc;The Burghers are expected to provide almost all their troops for the defense of the realm.;Les bourgeois sont tenus d’affecter la majorité de leurs troupes à la défense du Royaume.;Die Bürger müssen fast alle ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan casi todas sus tropas para defender el reino.;;;;;;;;;x
city_contract_3_desc;The Burghers are expected to provide all but a tiny part of their troops for the defense of the realm.;Les bourgeois sont tenus d’affecter toutes leurs troupes à la défense du Royaume.;Die Bürger müssen bis auf ein winziges Kontingent ihre sämtlichen Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan todas sus tropas salvo unas pocas para defender el reino.;;;;;;;;;x
CROWN_LAW_DESC;The Crown Laws of the §Y$CROWN_TITLE$§! apply in the §Y$TITLE$§!;Les Lois de la Couronne de §Y$CROWN_TITLE$§! s’appliquent en §Y$TITLE$§!;Die Krongesetze von §Y$CROWN_TITLE$§! gelten für §Y$TITLE$§! zu;;Las leyes de la Corona del §Y$CROWN_TITLE$§! se aplican en el §Y$TITLE$§!;;;;;;;;;x
patrician_elective;Patrician Elective;Élection patricienne;Patrizierfolge;;Patricio Electo;;;;;;;;;x
succ_patrician_elective;Patrician Elective;Élection patricienne;Patrizierfolge;;Patricio Electo;;;;;;;;;x
succ_patrician_elective_desc;This is the succession type in the great naval Merchant Republics. The next Doge is determined from among the heads of the five grand Patrician families depending on Age, Prestige, and invested Campaign Funds.;C'est le type de succession en vigueur dans les grandes républiques navales marchandes. Le prochain doge est choisi pami les dirigeants des cinq grandes dynasties selon les critères de l'âge, du prestige et des fonds investis dans la caisse électorale.;Dies ist der Erbfolge-Typ in der großen Marinehandels-Republik. Der nächste Doge wird unter den fünf großen Patrizierfamilien bestimmt, abhängig von Alter, Prestige und den investierten Wahlkampffonds.;;Es el tipo de sucesión de las grandes Repúblicas Mercantes navales. El próximo Dux se elige de entre los jefes de las cinco grandes familias patricias en función de su Edad, Prestigio, y Fondos de Campaña.;;;;;;;;;x
ultimogeniture;Ultimogeniture;Ultimogéniture;Ultimogenitur;;Ultimogenitura;;;;;;;;;x
succ_ultimogeniture;Ultimogeniture;Ultimogéniture;Ultimogenitur;;Ultimogenitura;;;;;;;;;x
succ_ultimogeniture_desc;This succession law is the opposite of the far more common Primogeniture. With Ultimogeniture, the youngest child inherits.;Cette règle de dévolution successorale est l’inverse de la primogéniture habituelle. Dans le cas de l’ultimogéniture, c’est le plus jeune enfant qui devient l’héritier.;Dieses Erbfolgerecht ist das Gegenteil der Primogenitur. Bei der Ultimogenitur erbt das jüngste Kind.;;Esta ley de sucesión se opone a la mucho más frecuente primogenitura. En la ultimogenitura, el heredero es el hijo más joven.;;;;;;;;;x
tanistry;Tanistry;Tanistrie;Thanwahl;;Tanistría;;;;;;;;;x
succ_tanistry;Tanistry;Tanistrie;Thanwahl;;Tanistría;;;;;;;;;x
succ_tanistry_desc;The ruler and all vassals at one and two ranks below can nominate an heir - the Tanist - from among the members of the ruler's dynasty. Vassals will tend to favor older members from other branches of the family, especially claimants.;Le dirigeant et tous les vassaux qui sont un ou deux rangs plus bas peuvent nommer un héritier, le taniste, parmi les membres de la dynastie du dirigeant. Les vassaux auront tendance à favoriser des membres plus âgés issus d’autres branches de la Famille, et plus particulièrement les prétendants.;Der Herrscher und alle Vassallen ein oder zwei Ränge darunter können einen Erben - den Than - aus den Mitgliedern der Dynastie des Herrschers nominieren. Vassallen bevorzugen ältere Mitglieder aus entfernten Zweigen der Dynastie, vor allem wenn ein Anspruch besteht.;;El gobernante y todos los vasallos de uno o dos rangos inferiores pueden nombrar un heredero -el tanista- entre los miembros de la dinastía del gobernante. Los vasallos tenderán a favorecer a miembros más ancianos de otras ramas de la familia, especialmente a los pretendientes. ;;;;;;;;;x
title_tanist;Tanist;Taniste;Than;;Tanista;;;;;;;;;x
enatic;Enatic;Utérine;Enatisch;;Enática;;;;;;;;;x
enatic_desc;Only women can inherit.;Uniquement les femmes peuvent hériter.;Nur Frauen können erben.;;Sólo las mujeres pueden heredar.;;;;;;;;;x
enatic_cognatic;Enatic-Cognatic;Utérine-Cognatique;Enatisch-kognatisch;;Enática-Cognática;;;;;;;;;x
enatic_cognatic_desc;Men can inherit, but only if there are no eligible females.;Les hommes peuvent hériter, mais uniquement si il n'y a aucune femme éligible.;Männer können erben, aber nur dann, wenn es keine erbberechtigten Frauen gibt.;;Los hombres pueden heredar, pero sólo si no hay mujeres elegibles.;;;;;;;;;x
enatic_succession;Enatic;Utérine;Enatisch;;Enática;;;;;;;;;x
enatic_succession_desc;Only women can inherit.;Uniquement les femmes peuvent hériter.;Nur Frauen können erben.;;Sólo las mujeres pueden heredar.;;;;;;;;;x
enatic_cognatic_succession;Enatic-Cognatic;Utérine-Cognatique;Enatisch-kognatisch;;Enática-Cognática;;;;;;;;;x
enatic_cognatic_succession_desc;Men can inherit, but only if there are no eligible females.;Les hommes peuvent hériter, mais uniquement si il n'y a aucune femme éligible.;Männer können erben, aber nur dann, wenn es keine erbberechtigten Frauen gibt.;;Los hombres pueden heredar, pero sólo si no hay mujeres elegibles.;;;;;;;;;x
succ_appointment;Appointment;Rendez-vous;Verabredung;;Nombramiento;;;;;;;;;x
succ_appointment_desc;On death, all titles revert back to the liege.;À la mort, tous les titres reviennent au suzerain.;Beim Tod fallen alle Titel an den Lehensherrn zurück.;;Al morir, todos los títulos retornan al señor.;;;;;;;;;x
papal_succession;Papal Succession;Succession papale;Päpstliche Nachfolge;;Sucesión papal;;;;;;;;;x
succ_papal_succession;Papal Succession;Succession papale;Päpstliche Nachfolge;;Sucesión papal;;;;;;;;;x
succ_papal_succession_desc;The Pope is elected by the College of Cardinals depending on age, piety, popularity and other factors.;Le pape est élu par le collège des cardinaux selon son âge, sa piété, sa popularité et d'autres facteurs.;Der Papst wird vom Kardinalskollegium aufgrund von Alter, Frömmigkeit, Beliebtheit und anderen Faktoren gewählt.;;El Papa es elegido por el Colegio Cardenalicio en función de su edad, piedad, popularidad y otros factores.;;;;;;;;;x
title_designated_heir;Designated Heir;Héritier désigné;Gewählter Erbe;;Heredero designado;;;;;;;;;x
title_designated_heir_desc;Designate this Character as Your Heir;Désigner ce personnage comme héritier;Wählt diesen Charakter als Euren Erben;;Designar a este personaje como tu heredero;;;;;;;;;x
