#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une méchante personne;;;;;;;;;;;;x
DEATH_EXECUTION_STONING;was stoned to death on the order of $KILLER$;a été lapidé[GetNoneE] sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_STONING_NO_KILLER;was stoned to death;a été mortellement lapidé[GetNoneE];;;;;;;;;;;;x
DEATH_EXECUTION_BLOOD_EAGLE;was carved into a blood eagle on the order of $KILLER$;est devenu[GetNoneE] un aigle de sang sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_BLOOD_EAGLE_NO_KILLER;was carved into a blood eagle;a subi le supplice de l'aigle de sang;;;;;;;;;;;;x
DEATH_EXECUTION_SCAPHISM;was executed by Scaphism on the order of $KILLER$;est mort[GetNoneE] du scaphisme de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_SCAPHISM_NO_KILLER;was executed by Scaphism;est mort[GetNoneE] du supplice du scaphisme;;;;;;;;;;;;x
DEATH_EXECUTION_DROWNING_PIT;died thrashing in the drowning-pit on the order of $KILLER$;a été jeté[GetNoneE] dans un puits sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_DROWNING_PIT_NO_KILLER;died thrashing in the drowning-pit;a été retrouvé[GetNoneE] mort[GetNoneE] noyé[GetNoneE] au fond d'un puits;;;;;;;;;;;;x
DEATH_EXECUTION_GARROTTING;was executed by garroting on the order of $KILLER$;a été étranglé[GetNoneE] sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_GARROTTING_NO_KILLER;was executed by garroting;a été étranglé[GetNoneE];;;;;;;;;;;;x
DEATH_EXECUTION_BACK_BREAKING;had [GetHerHis] back broken on the order of $KILLER$;est mort[GetNoneE] sur le chevalet de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_WHEEL;was broken on the wheel by order of $KILLER$;est mort[GetNoneE] sur la roue de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_BOAR;was gored to death by a boar on the order of $KILLER$;est mortellement transpercé[GetNoneE] par une corne de sanglier, sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_BOAR_NO_KILLER;was gored to death by a boar;est mortellement transpercé[GetNoneE] par une corne de sanglier;;;;;;;;;;;;x
immortal_desc;This character has achieved eternal life and will never succumb to the ravages of old age. The character is not invincible though, physical injury will still hurt them.;Ce personnage est parvenu à vie éternelle, se préservant des affres de la vieillesse. Toutefois, ce personnage n'est pas invincible et peut toujours subir des blessures physique.;;;;;;;;;;;;x
set_crown_focus;Set Crown Focus;Proclamer comme centre d'intérêt;;;;;;;;;;;;x
set_crown_focus_desc;Set [Root.Location.GetName] as your Crown Focus. [Root.Location.GetName] will be more likely to Prosper, and may receive special events. Only one County may be Crown Focus at a time.;En proclamant [Root.Location.GetName] comme centre d'intérêt de la Couronne, cette province sera au cur du développement économique de votre domaine, ce qui se reflètera par une plus grande chance de prospérer et de recevoir des évènements particuliers. Seule une province peut être votre centre d'intérêt à la fois.;;;;;;;;;;;;x
unset_crown_focus;Unset Crown Focus;Retirer le statut de centre d'intérêt;;;;;;;;;;;;x
unset_crown_focus_desc;Remove Crown Focus from [Root.Location.GetName]. [Root.Location.GetName] will not lose any current modifiers, but will no longer receive special treatment.;Ne plus tenir compte en particulier de [Root.Location.GetName] dans le développement économique du domaine. En n'étant plus un centre d'intérêt de la Couronne, [Root.Location.GetName] ne perdra aucun des modificateurs déjà acquis, mais ne recevra plus de traitement de faveur.;;;;;;;;;;;;x
move_crown_focus;Set Crown Focus;Changer de centre d'intérêt;;;;;;;;;;;;x
move_crown_focus_desc;Set [Root.Location.GetName] as your Crown Focus. [Root.Location.GetName] will be more likely to Prosper, and may receive special events. Only one County may be Crown Focus at a time.;En proclamant [Root.Location.GetName] comme centre d'intérêt de la Couronne, cette province sera au cur du développement économique de votre domaine, ce qui se reflètera par une plus grande chance de prospérer et de recevoir des évènements particuliers. Seule une province peut être votre centre d'intérêt à la fois.;;;;;;;;;;;;x
RULED_TOO_LONG_PENALTY;Ruled too long: $VAL|=+0$;Règne depuis trop longtemps : $VAL|=+0$;;;;;;;;;;;;x
heir_flavor_desc_1;Ascending to the throne at age [GetAgeYears] is;Accède au trône à l'âge de [GetAgeYears] ans;;;;;;;;;;;;x
SUCCESSION_HEIR_FULL_DESC;$HEIR_TITLE$ $HEIR_NAME$ - $HEIR_TRAIT_DESC$. Long live $NEW_TITLE$ $NEW_NAME$!;$HEIR_TITLE$ $HEIR_NAME$$HEIR_TRAIT_DESC$. Longue vie à notre $NEW_TITLE$ !;;;;;;;;;;;;x
SUCCESSION_DEAD_FULL_DESC;$DEAD_TITLE$ $DEAD_NAME$ $DEAD_RAND_FLAVOR_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$.;$DEAD_TITLE$ $DEAD_NAME$ $DEAD_RAND_FLAVOR_DESC$. [GetSheHeCap] [GetDeathReason] à l'âge de [GetAgeYears] ans. $DEATH_TRAIT_DESC$.;;;;;;;;;;;;x
nick_the_defender;the Defender;la Protectrice;;;;;;;;;;;;x
graverobber;Graverobber;Pilleur de tombes;;;;;;;;;;;;x
graverobber_desc;This character is a known graverobber.;Ce personnage déterre des cadavres.;;;;;;;;;;;;x
opinion_neglectful_parent;Neglectful Parent;Négligence parentale;;;;;;;;;;;;x
golden_mask;Golden Mask;Masque doré;;;;;;;;;;;;x
opinion_repulsed_deformity;Repulsed by Deformity;Difforme;;;;;;;;;;;;x
martially_ambidextrous_desc;This character can wield a weapon in either hand with equal skill.;Ce personnage est parvenu à manier aussi bien les armes d'une main que de l'autre;;;;;;;;;;;;x
glass_eye;Glass Eye;Oeil de vitre;;;;;;;;;;;;x
glass_eye_desc;This character has a very lifelike glass eye. Only the most talented artisan could have made such a masterpiece.;Ce personnage porte un il de vitre. Seul le plus talentueux des artisans peut avoir conçu un ouvrage aussi réaliste.;;;;;;;;;;;;x
opinion_inept_dancer;Inept Dancer;Deux pieds gauches;;;;;;;;;;;;x
phantom_pain;Phantom Pain;Membre fantôme;;;;;;;;;;;;x
phantom_pain_desc;This character is experiencing painful sensations in [GetHerHis] missing body part.;Ce personnage ressent toujours une impression de douleurs dans son membre amputé.;;;;;;;;;;;;x
opinion_insane_ruler;Insane Ruler;Seigneur timbré;;;;;;;;;;;;x
great_dancer;Great Dancer;Danseur accompli;;;;;;;;;;;;x
forced_mask;Forced to Wear Mask;Mascarade imposée;;;;;;;;;;;;x
forced_mask_desc;This character's liege has forced all subjects to wear a mask on a permanent basis.;Le suzerain de ce personnage impose à tous ses sujets le port du masque en permanence;;;;;;;;;;;;x
crazy_cat_lady;Crazy Cat Lady;Folle aux chats;;;;;;;;;;;;x
convince_to_straighten_up_desc;Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning, Diplomacy or Intrigue skill will help. However if he owes you a favor, you can force him to do as you ask.;Tenter de raisonner §Y[This.GetBestName]§! en lui demandant de se reprendre en main. La réussite n'est nullement garantie, mais une compétence élevée en érudition, une diplomatie ou en intrigue vous aidera. Cependant, si jamais [This.GetSheHe] vous doit une faveur, vous pourriez alors [This.GetHerHim] forcer à faire ce que vous souhaitez.;;;;;;;;;;;;x
broken_non_aggression_pact_char_modifier;Non-Aggression Pact Breaker;A rompu un pacte de non-aggression;;;;;;;;;;;;x
broken_non_aggression_pact_char_modifier_desc;This character has broken a Non-Aggression Pact and is considered untrustworthy;En reniant un pacte de non-aggression, ce personnage s'est montré indigne de confiance;;;;;;;;;;;;x
other_claim_desc;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\nIf §Y$PRESSER$§! holds a higher tier title and is of the same dynasty as §Y$CLAIMANT$§!, or if §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!, §Y$CLAIMANT$§! will also become a vassal of §Y$PRESSER$§!.;Ce casus belli peut être utilisé par §Y$PRESSER$§! pour revendiquer le titre de §Y$TITLE$§! au nom de §Y$CLAIMANT$§!.\n Si §Y$PRESSER$§! détient un titre d'un rang supérieur et appartient à la même dynastie que §Y$CLAIMANT$§!, ou si §Y$PRESSER$§! Est le suzerain coutumier de §Y$TITLE$§!, §Y$CLAIMANT$§! prêtera hommage à §Y$PRESSER$§! et deviendra son vassal.;;;;;;;;;;;;x
CREATE_BARON_DESC;Raise up a suitable lesser courtier or local to govern this Holding as a vassal.;Extraire des petits courtisans ou des notables locaux un individu apte à se voir confier, après vous avoir prêté hommage, ce fief.;;;;;;;;;;;;x
NUM_LEADER_TRAITS_FEWER_THAN;Leader Traits fewer than ;Nombre de traits de commandement en-deça de;;;;;;;;;;;;x
NUM_LEADER_TRAITS_AT_LEAST;Leader Traits at least ;Nombre de traits de commandement au-delà de;;;;;;;;;;;;x
IN_SECLUSION;Is in Seclusion;Est reclus;;;;;;;;;;;;x
NOT_IN_SECLUSION;Is NOT in Seclusion;N'est pas reclus;;;;;;;;;;;;x
TOOLTIP_ze_administration_laws_1;Allows additional succession laws\nVassals who refuse liege interference in wars are seen as traitors\n;Permet davantage d'options quant à la succession\nLe refus de l'intercession du suzerain dans une guerre est considéré comme de la traîtrise pour un vassal\n;;;;;;;;;;;;x
TOOLTIP_ze_administration_laws_0;Disallows additional succession laws\nVassals may refuse liege interference in wars\n;Restreint les lois de succession disponibles\nLes vassaux peuvent refuser l'intercession de leur suzerain dans leur guerre\n;;;;;;;;;;;;x
interfere_in_vassal_war_attacker;End Vassal War;Mettre un terme à la guerre d'un vassal;;;;;;;;;;;;x
interfere_in_vassal_war_attacker_desc;Demand that §Y[This.GetTitledName]§! end the §Y[FromFrom.GetName]§! against §Y[FromFrom.Defender.GetTitledName]§! and accept a White Peace. [This.GetSubjectPronounCap] might refuse or ask for something in return...;Exiger que §Y[This.GetTitledName]§! mette fin à la §Y[FromFrom.GetName]§! contre §Y[FromFrom.Defender.GetTitledName]§! En signant une paix blanche. [This.GetSubjectPronounCap] pourrait refuser ou demander quelque chose en échange...;;;;;;;;;;;;x
interfere_in_vassal_war_attacker_use_favor;End Vassal War;Mettre un terme à la guerre d'un vassal;;;;;;;;;;;;x
interfere_in_vassal_war_attacker_use_favor_desc;Demand that §Y[This.GetTitledName]§! end the §Y[FromFrom.GetName]§! against §Y[FromFrom.Defender.GetTitledName]§! and accept a White Peace.;Exiger que §Y[This.GetTitledName]§! mette fin à la §Y[FromFrom.GetName]§! contre §Y[FromFrom.Defender.GetTitledName]§! en signantune paix blanche.;;;;;;;;;;;;x
opinion_refused_to_end_war;Refused to End War;A refusé l'arrêt des hostilités;;;;;;;;;;;;x
interfere_in_vassal_war_defender;Surrender in Vassal War;Capituler au nom d'un vassal;;;;;;;;;;;;x
interfere_in_vassal_war_defender_desc;Demand that §Y[This.GetTitledName]§! surrender in the §Y[FromFrom.GetName]§! against §Y[FromFrom.Attacker.GetTitledName]§!. [This.GetSubjectPronounCap] might refuse or ask for something in return...;Demander que §Y[This.GetTitledName]§! obtienne la fin de la §Y[FromFrom.GetName]§! en offrant sa reddition à §Y[FromFrom.Attacker.GetTitledName]§!. [This.GetSubjectPronounCap] pourrait refuser ou demander quelque chose en échange...;;;;;;;;;;;;x
interfere_in_vassal_war_defender_use_favor;Surrender in Vassal War;Capituler au nom d'un vassal;;;;;;;;;;;;x
interfere_in_vassal_war_defender_use_favor_desc;Demand that §Y[This.GetTitledName]§! surrender in the §Y[FromFrom.GetName]§! against §Y[FromFrom.Attacker.GetTitledName]§!, calling in the Favor [This.GetSubjectPronoun] owes you.;Demander à §Y[This.GetTitledName]§! d'en finir avec la §Y[FromFrom.GetName]§! en capitulant face à §Y[FromFrom.Attacker.GetTitledName]§!, en échange de la faveur qu'[This.GetSubjectPronoun] vous doit.;;;;;;;;;;;;x
RULE_DEJURE_DURATION;De Jure Assimilation Duration;Délai d'assimilation coutumière;;;;;;;;;;;;x
RULE_DEJURE_DURATION_DEFAULT_DESC;Sub-realms take 100 years to integrate into a De Jure Realm.;Il faut un siècle pour qu'un titre suzerain puisse exercer ses droits coutumiers sur un nouveau territoire.;;;;;;;;;;;;x
RULE_DEJURE_DURATION_LONGER_DESC;Sub-realms take 300 years to integrate into a De Jure Realm.;Il faut trois siècles avant qu'un titre suzerain ne puisse exercer ses droits coutumiers sur un nouveau territoire.;;;;;;;;;;;;x
RULE_DEJURE_DURATION_SHORTER_DESC;Sub-realms take 50 years to integrate into a De Jure Realm.;Il faut 50 ans avant qu'un titre suzerain fasse valoir ses droits coutumiers sur un nouveau territoire.;;;;;;;;;;;;x
RULE_DEJURE_DURATION_SHORTEST_DESC;Sub-realms take 10 years to integrate into a De Jure Realm.;Après une décennie, un titre suzerain dispose des droits coutumiers sur un nouveau territoire.;;;;;;;;;;;;x
TECHPOINTS_PROVINCE_MODIFIERS;From County Modifiers: §Y$AMOUNT$§!;Des modificateurs locaux : §Y$AMOUNT$§!;;;;;;;;;;;;x
PROVINCE_HOSPITAL_VIEW_DEPOP_DESC;Depopulation Protection: $VALUE|Y$;Protection contre la dépeuplement: $VALUE|Y$;;;;;;;;;;;;x
DEPOPULATION_PROTECTION_MINOR;a §GMinor§! protection against depopulation;une protection §Gmineure§! contre la dépeuplement;;;;;;;;;;;;x
DEPOPULATION_PROTECTION_MEDIUM;a §GMedium§! protection against depopulation;une protection §Gmoyenne§! contre la dépeuplement;;;;;;;;;;;;x
DEPOPULATION_PROTECTION_MAJOR;a §GMajor§! protection against depopulation;une protection §Gmajeure§! contre la dépeuplement;;;;;;;;;;;;x
MAJOR_PROVINCE_MODIFIER_LOST_SETUP;Major province modifier lost;Important modificateur local perdu;;;;;;;;;;;;x
MAJOR_PROVINCE_MODIFIER_LOST_LOG;The county of $PROVINCE|Y$ lost its modifier '$MODIFIER|Y$';$PROVINCE|Y$ a perdu son modificateur '$MODIFIER|Y$';;;;;;;;;;;;x
MAJOR_PROVINCE_MODIFIER_GAINED_SETUP;Major province modifier gained;Important modificateur local obtenu;;;;;;;;;;;;x
MAJOR_PROVINCE_MODIFIER_GAINED_LOG;The county of $PROVINCE|Y$ gained '$MODIFIER|Y$';$PROVINCE|Y$ a obtenu le modificateur '$MODIFIER|Y$';;;;;;;;;;;;x
PROVINCE_CROWN_FOCUS_TOOLTIP;§YCrown Focus§!;§YCentre d'intérêt§!;;;;;;;;;;;;x
PROVINCE_CROWN_FOCUS_PLAYER_DESC;$PROVINCE|Y$ is your current §YCrown Focus§! and, as such, is more likely to prosper and develop;$PROVINCE|Y$ est un §Ycentre d'intérêt de la Couronne§! et est ainsi plus enclin à prospérer et à se développer.;;;;;;;;;;;;x
PROVINCE_CROWN_FOCUS_DESC;$PROVINCE|Y$ is the current §YCrown Focus§! of $OWNER|Y$ and, as such, is more likely to prosper and develop;$PROVINCE|Y$ est un §Ycentre d'intérêt§! de $OWNER|Y$ et est ainsi plus enclin à prospérer et à se développer.;;;;;;;;;;;;x
PROVINCE_MAKE_CROWN_FOCUS_TOOLTIP;§YMake Crown Focus§!;§YProclamer comme centre d'intérêt§!;;;;;;;;;;;;x
PROVINCE_MAKE_CROWN_FOCUS_DESC;You can make $PROVINCE|Y$ your §YCrown Focus§! to make it more likely to prosper and develop:;Vous pouvez faire de $PROVINCE|Y$ un §Ycentred'intérêt de la Couronne§! afin d'en faciliter la prospérité et le développement:;;;;;;;;;;;;x
move_crown_focus_named;Set Crown Focus in [Root.GetName];Déplacer le centre d'intérêt vers [Root.GetName];;;;;;;;;;;;x
expelling_holy_order_decision_tooltip;Is NOT already considering to expel the Holy Order;N'envisage pas déjà l'expulsion de l'ordre saint;;;;;;;;;;;;x
expelling_holy_order_decision_tooltip_b;Expel the Holy Order from the realm.;Expulse de ses terres l'ordre saint;;;;;;;;;;;;x
expelling_holy_order_event_tooltip_a;Expel the Holy Order and confiscate any land they have within the realm;Expulse de ses terres l'ordre saint et procède à la saisie de ses biens;;;;;;;;;;;;x
expelling_holy_order_event_tooltip_b;Allow the Holy Order to remain within the realm;Permet à l'ordre saint de demeurer dans ses terres;;;;;;;;;;;;x
BUILD_HOSPITAL_DESC;Hospitals can be built in any county you control for a cost of §Y$COST$§!¤. Hospitals are constructed to increase the §YDisease Resistance§! of a county, which reduces the chance of epidemic outbreaks to occur in and spread into the county. It will also provide some protection against §YDepopulation§!.;Un hôpital peut être établi dans tout comté sous votre contrôle pour un coût de §Y$COST$§!¤. Il y augmente la §Yrésistance à la maladie§!, ce qui réduit la probabilité qu'une épidémie s'y déclenche ou s'y répande. Il fournit aussi une certaine protection contre la §Ydépeuplement§!.;;;;;;;;;;;;x
scurvy_desc;This character has scurvy - fatigue, bleeding, spots on the skin, and if left untreated may cause loss of teeth, fever and eventually death.;Ce personnage a contracté le scorbut et présente des signes de fatigue et des rougueurs cutanées, sans soins, il risque d'y perdre sa dentition et de sombrer dans la fièvre et la mort.;;;;;;;;;;;;x
scurvy_death;of Scurvy;avait le scorbut;;;;;;;;;;;;x
set_crown_focus_named;Set Crown Focus in [Root.GetName];Proclamer  [Root.GetName] comme centre d'intérêt;;;;;;;;;;;;x
loot_prosperity_boost;Influx of Loot;Montagne de butin;;;;;;;;;;;;x
loot_prosperity_boost_desc;The additional wealth brought in by raiding has led to an increase in spending and investment here.;L'afflux de richesses provenant des pillages a permis l'accroissement de l'activité économique et des investissements dans cette province.;;;;;;;;;;;;x
CHRONICLE_DISTANT_PLAGUE;On [GetDateText], rumors began to reach us of a terrible outbreak of Plague in far off lands;Le [GetDateText], des rumeurs en provenance de terres lointaines ont commencé à faire état d'une terrible éclosion de peste.;;;;;;;;;;;;x
CHRONICLE_NEARBY_PLAGUE;As of [GetDateText], the Plague is no longer a distant rumor. Travelers from neighboring realms are now arriving with firsthand experience of the horrors it brings.;Depuis le [GetDateText], les rumeurs sur l'épidémie de peste se sont avérées fondées. Des voyageurs des contrées voisines ont témoigné de ses terribles horreurs;;;;;;;;;;;;x
CHRONICLE_BORDERING_PLAGUE;On [GetDateText] the Plague arrived at our borders. May [Root.Religion.GetHighGodNameCap] protect us.;C'est le [GetDateText] que la peste a atteint nos frontières. Que [Root.Religion.GetHighGodName] nous protège.;;;;;;;;;;;;x
CHRONICLE_INDIA_GONE;On [GetDateText] word reached us that India has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté les Indes.;;;;;;;;;;;;x
CHRONICLE_PERSIA_GONE;On [GetDateText] word reached us that Persia has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté la Perse.;;;;;;;;;;;;x
CHRONICLE_MIDDLEEAST_GONE;On [GetDateText] word reached us that the Middle east has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté l'Orient;;;;;;;;;;;;x
CHRONICLE_AFRICA_GONE;On [GetDateText] word reached us that Africa has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté l'Afrique;;;;;;;;;;;;x
CHRONICLE_ASIAMINOR_GONE;On [GetDateText] word reached us that Asia minor has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté l'Asie Mineure.;;;;;;;;;;;;x
CHRONICLE_EASTEUROPE_GONE;On [GetDateText] word reached us that eastern Europe has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté l'est de l'Europe.;;;;;;;;;;;;x
CHRONICLE_SOUTHEUROPE_GONE;On [GetDateText] word reached us that southern Europe has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté le sud de l'Europe.;;;;;;;;;;;;x
CHRONICLE_WESTEUROPE_GONE;On [GetDateText] word reached us that western Europe has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté l'ouest de l'Europe.;;;;;;;;;;;;x
CHRONICLE_NORTHEUROPE_GONE;On [GetDateText] word reached us that northern Europe has been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté le nord de l'Europe.;;;;;;;;;;;;x
CHRONICLE_STEPPE_GONE;On [GetDateText] word reached us that the Steppes have been widely Depopulated by the dreaded Plague.;Nous avons appris le [GetDateText] que la Peste a dévasté les Steppes.;;;;;;;;;;;;x
vassal_wars_law_0_desc;Vassals may fight against enemies both within and without the realm so long as Realm Peace is not enforced.;Les vassaux ont la latitude de se livrer à des guerres privées, pour peu que le suzerain ne leur demande pas de garder la paix.;;;;;;;;;;;;x
vassal_wars_law_1_desc;Vassals are forbidden from declaring war on enemies within the realm, but may attack external enemies so long as Realm Peace is not enforced.;Les vassaux ne peuvent plus menere de guerre privées à l'intérieur du domaine de leur suzerain, mais peuvent toujours guerroyer hors du domaine, sauf s'ils doivent garder la paix.;;;;;;;;;;;;x
vassal_wars_law_2_desc;Vassals are forbidden from declaring war both within and without the realm.;Les vassaux n'ont plus le droit de déclarer et de conduire toute guerre.;;;;;;;;;;;;x
guide_dog_desc;This blind [GetManWoman] seems to be guided around by a large black dog, most peculiar...;Ce personnage aveugle est guidé[GetNoneE] par un grand chien noir très particulier...;;;;;;;;;;;;x
logging_company_province;Logging Company;Camp forestier;;;;;;;;;;;;x
desc_logging_company_province;The prime wood contained within the forests of this county has drawn the attention of an elite group of artisans.;La qualité du bois pouvant être obtenus dans les forêts de cette province a attiré l'attention d'un groupe d'artisans chevronnés;;;;;;;;;;;;x
ore_mine_province;Mining Network;Complexe minier;;;;;;;;;;;;x
desc_ore_mine_province;The mountains of this county contain a massive network of guilds mining for ore and breaking stone.;Les montagnes de cette province recèle un vaste potentiel qu'un réseau de galleries et carrières cherche à exploiter.;;;;;;;;;;;;x
desc_rampaging_nomads;Hordes of rampaging nomadic warriors are terrorizing the inhabitants of this county. If this county is conquered by a non-nomadic character, the rampaging nomads will disperse.;Des hordes de nomades déchaînés terrorisent les habitants de cette province. Arracher cette endroit à leur joug permettrait de les protéger.;;;;;;;;;;;;x
recently_burnt_the_land;Recently Pillaged;Mis à sac;;;;;;;;;;;;x
burnt_the_land;Ravaged Lands;Terre brûlées;;;;;;;;;;;;x
desc_burnt_the_land;Frequent brutal raids by nomadic hordes have left this land in a ravaged state.;À force d'être pillées par les nomades, ces terres ne valent plus rien.;;;;;;;;;;;;x
recently_burnt_the_land_not_owner;Plundered by Nomads;Mis à sac;;;;;;;;;;;;x
desc_recently_burnt_the_land_not_owner;This county has been plundered by Nomads. For as long as this modifier remains, the county cannot be plundered again.;Cette province a subi le pillage d'une horde nomade et ne pourra être pillée de nouveau avant de s'être rétablie.;;;;;;;;;;;;x
nick_the_resilient;the Resilient;l'Intuable;;;;;;;;;;;;x
nick_the_mule;the Tenacious;l'Entêté;;;;;;;;;;;;x
nick_the_slayer_of_culture;Slayer of the [nickname_target.Culture.GetName];le  Pourfendeur des [nickname_target.Culture.GetName]s;;;;;;;;;;;;x
nick_the_butcher;the Butcher;le Boucher;;;;;;;;;;;;x
nick_son_of_evilgod;[This.GetSonDaughterCap] of [This.Religion.GetRandomEvilGodName];l'Engeance de [This.Religion.GetRandomEvilGodName];;;;;;;;;;;;x
nick_the_flayer;the Flayer;le Fouettard;;;;;;;;;;;;x
nick_the_eastern_wind;the Eastern Wind;le Vent de l'Est;;;;;;;;;;;;x
nick_the_bane_of_realmname;the Bane of [nickname_target.PrimaryTitle.GetName];le Bourreau de [nickname_target.PrimaryTitle.GetName];;;;;;;;;;;;x
nick_the_culture_marauder;the [nickname_receiver.Culture.GetName] Marauder;le Maraudeur [nickname_receiver.Culture.GetName];;;;;;;;;;;;x
desc_jewish_settlement_province;A large Jewish community has settled in this county, their merchants significantly contributing to the commerce of the county.;Une grande communauté juive s'est installée dans cette province. Ses marchands contribuent significativement au commerce.;;;;;;;;;;;;x
desc_glorious_monument_province;This magnificent structure depicts a local ruler. It is clearly visible by visiting merchants, and stories regarding its greatness travel far and wide.;Un magnifique monument à la gloire d'un dirigeant local. Il est placé à la vue des marchands de passage, ce qui permet de disséminer les récits de sa gloire vers les contrées lointaines.;;;;;;;;;;;;x
desc_merchant_harbor_province;A steady influx of merchant ships provide this county with ample opportunity for procuring ships.;Grâce au flot constant de navires marchands, il est aisé pour cette province de se procurer des bateaux.;;;;;;;;;;;;x
desc_scholar_foundation_province;Scholar's Foundation;Fondation;;;;;;;;;;;;x
desc_great_library_province;This imposing building contains tomes and scrolls of vast knowledge, scholars from far and wide flock to it in order to study the secrets within.;Cet édifice renferme nombre de volumes, manuscrits et parchemins recelant des nombreux savoirs. Des érudits de partout s'y rendent afin d'en découvrir les secrets.;;;;;;;;;;;;x
desc_center_of_worship_province;This county serves as a hub for religious pilgrims from both far and wide.;Cette province est une plaque tournante pour les pélerinages religieux.;;;;;;;;;;;;x
desc_religious_settlement_province;A large community of religious minorities has settled in this county, their merchants significantly contributing to the commerce of the county.;Une grande communauté d'une minorité religieuse s'est installée dans cette province. Ses marchands contribuent significativement au commerce.;;;;;;;;;;;;x
desc_messenger_stations;A network of messengers ease the communication between peasants and their kin.;Un réseau de messagers se relayant permet la communication entre les paysans et leur famille.;;;;;;;;;;;;x
desc_harvest_festivals;The harvest festivals of this county are especially large and eventful!;La fête des récoltes de cette province est particulièrement suivie et riche en événements !;;;;;;;;;;;;x
desc_inspired_peasantry;The village elders of this county are inspiring the peasants to work even harder!;Les anciens de cette provinces inspirent les paysans à travailler encore plus durement !;;;;;;;;;;;;x
desc_new_roads;The roads of this county are brand new and well kept.;Les routes de cette province sont nouvelles et bien entretenues.;;;;;;;;;;;;x
desc_new_shrines;In this county it seems as if each and every village has its own local shrine for worship.;Dans ce cette province, il semble que chaque hameau détient son propre sanctuaire de dévotion.;;;;;;;;;;;;x
realm_prospers_custom_tooltip;All §YRealm Provinces§! receive a significant §YProsperity§! boost!;Tous les §Yprovinces du domaine§! reçoivent un bonus significatif de §Yprospérité§! !;;;;;;;;;;;;x
obj_see_the_realm_prosper_title;See the Realm Prosper;Voir le domaine prospérer;;;;;;;;;;;;x
obj_see_the_realm_prosper_desc;[This.GetTitledFirstName] wants to see [This.GetHerHis] realm prosper by staying at peace for §Y5 years§!.\n\nIf [This.GetFirstName]'s realm is attacked or [This.GetSheHe] goes to war, this ambition will fail and can't be taken again for §Y5 years§!.\n\nWhile this ambition is active, §YGlobal Revolt Risk§! is reduced by §Y1%§!.;[This.GetTitledFirstName] veut voir son domaine prospérer en restant en paix pendant §Y5 ans§!.\n\nSi le pays de [This.GetFirstName] est attaqué ou si [This.GetSheHe] déclenche une guerre, cette ambition échouera et ne pourra être reprise avant §Y5 ans§!.\nTant que cette ambition est en cours, le §Yrisque global de révolte§! est réduit de §Y1%§!.;;;;;;;;;;;;x
tooltip_obj_see_the_realm_prosper;Has ruled the realm in peace for §Y5 years§!;A gouverné son domaine dans la paix pendant §Y5 ans§!;;;;;;;;;;;;x
custom_historical_plague_free_zone;Historical Plague Exclusion Zone;Zone historiquement épargnée par la peste;;;;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest in the year 1100, and 25 years after the game has started. After one major outbreak the epidemic will become endemic.;La peste bubonique peut apparaître dès l'an 1100, ou 25 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;;;;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest 200 years after the game has started, and might reappear 500 years after game start. After one major outbreak the epidemic will become endemic.;La peste bubonique n'apparaîtra pas dans les 200 premières années de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;;;;;;;;;;;;x
